timestamp,p_mean,p_min,p_max
06-Jun-2018 00:00:00,32.425967,30.997876,33.585345
06-Jun-2018 00:15:00,32.575298,31.251550,33.795532
06-Jun-2018 00:30:00,32.769813,30.961637,33.744797
06-Jun-2018 00:45:00,32.437066,31.338523,33.788284
06-Jun-2018 01:00:00,32.374058,30.976133,33.570849
06-Jun-2018 01:15:00,32.479756,31.287789,33.715806
06-Jun-2018 01:30:00,32.468932,30.932646,33.643327
06-Jun-2018 01:45:00,32.546645,31.012372,33.628832
06-Jun-2018 02:00:00,32.687277,31.461736,33.657823
06-Jun-2018 02:15:00,32.794625,31.396506,33.621584
06-Jun-2018 02:30:00,32.973332,31.309532,34.244896
06-Jun-2018 02:45:00,32.647985,31.483480,33.795532
06-Jun-2018 03:00:00,32.980394,31.106593,34.070948
06-Jun-2018 03:15:00,32.948923,31.577701,34.904447
06-Jun-2018 03:30:00,32.900322,31.461736,33.839018
06-Jun-2018 03:45:00,32.432258,31.439993,33.795532
06-Jun-2018 04:00:00,32.530563,31.150080,33.375158
06-Jun-2018 04:15:00,32.377070,30.889159,33.737549
06-Jun-2018 04:30:00,32.157711,31.005124,33.701310
06-Jun-2018 04:45:00,32.395190,30.664477,33.911497
06-Jun-2018 05:00:00,31.838840,29.917952,34.658021
06-Jun-2018 05:15:00,30.348295,28.388664,32.809829
06-Jun-2018 05:30:00,29.323156,26.243312,31.845870
06-Jun-2018 05:45:00,28.052043,25.554769,30.787690
06-Jun-2018 06:00:00,26.939102,24.721271,30.004926
06-Jun-2018 06:15:00,27.622771,25.163388,30.193369
06-Jun-2018 06:30:00,28.518021,26.315790,31.744401
06-Jun-2018 06:45:00,26.599743,24.119703,29.142436
06-Jun-2018 07:00:00,27.782312,25.163388,29.722261
06-Jun-2018 07:15:00,28.313979,25.844682,30.483282
06-Jun-2018 07:30:00,28.394454,25.453300,30.678972
06-Jun-2018 07:45:00,28.838479,25.286600,31.809631
06-Jun-2018 08:00:00,28.654626,26.808641,31.186319
06-Jun-2018 08:15:00,28.697638,25.627248,30.715211
06-Jun-2018 08:30:00,28.420248,26.214320,31.113841
06-Jun-2018 08:45:00,28.748494,26.917358,30.693468
06-Jun-2018 09:00:00,28.730318,25.750460,31.526966
06-Jun-2018 09:15:00,28.871634,26.098355,31.526966
06-Jun-2018 09:30:00,29.478920,27.714617,31.628436
06-Jun-2018 09:45:00,28.923866,26.308542,32.019818
06-Jun-2018 10:00:00,29.390303,27.258005,31.925596
06-Jun-2018 10:15:00,30.638449,27.258005,33.164972
06-Jun-2018 10:30:00,29.855347,26.844880,31.998074
06-Jun-2018 10:45:00,29.725338,27.518926,32.019818
06-Jun-2018 11:00:00,29.288770,26.294046,31.490727
06-Jun-2018 11:15:00,29.413972,27.511679,31.142832
06-Jun-2018 11:30:00,29.731144,27.171031,32.469182
06-Jun-2018 11:45:00,29.094778,26.294046,31.555958
06-Jun-2018 12:00:00,29.394225,26.968093,32.012570
06-Jun-2018 12:15:00,29.523414,27.091306,31.744401
06-Jun-2018 12:30:00,30.087752,27.105801,32.534412
06-Jun-2018 12:45:00,31.399977,29.236658,34.607286
06-Jun-2018 13:00:00,30.938541,28.453894,33.034511
06-Jun-2018 13:15:00,30.153836,28.048017,33.186715
06-Jun-2018 13:30:00,30.654660,28.751054,33.244698
06-Jun-2018 13:45:00,30.550791,28.439399,33.020016
06-Jun-2018 14:00:00,30.956854,28.287195,33.063503
06-Jun-2018 14:15:00,31.307704,29.040967,33.193963
06-Jun-2018 14:30:00,31.241483,29.323632,34.114435
06-Jun-2018 14:45:00,30.958891,28.642337,32.643129
06-Jun-2018 15:00:00,30.157694,27.627644,32.896803
06-Jun-2018 15:15:00,29.681126,27.772600,32.432943
06-Jun-2018 15:30:00,29.683397,26.337533,32.063304
06-Jun-2018 15:45:00,28.330544,26.120099,31.005124
06-Jun-2018 16:00:00,28.173436,26.098355,30.599246
06-Jun-2018 16:15:00,28.384436,25.641743,31.237054
06-Jun-2018 16:30:00,27.966165,25.764956,30.686220
06-Jun-2018 16:45:00,27.452585,25.547522,29.780244
06-Jun-2018 17:00:00,27.164468,24.931458,29.454092
06-Jun-2018 17:15:00,27.662659,25.025679,30.048413
06-Jun-2018 17:30:00,27.336072,24.242916,29.888961
06-Jun-2018 17:45:00,26.496792,24.170437,28.859772
06-Jun-2018 18:00:00,27.620823,24.728519,30.918150
06-Jun-2018 18:15:00,28.348881,25.562017,30.548512
06-Jun-2018 18:30:00,28.273327,25.699726,30.164378
06-Jun-2018 18:45:00,27.912877,25.576513,30.483282
06-Jun-2018 19:00:00,27.638612,24.677784,31.403754
06-Jun-2018 19:15:00,27.533688,24.605306,29.816483
06-Jun-2018 19:30:00,28.513117,25.699726,31.947340
06-Jun-2018 19:45:00,29.758315,27.207271,32.121287
06-Jun-2018 20:00:00,28.370939,26.105603,30.823929
06-Jun-2018 20:15:00,28.538162,25.446052,31.911100
06-Jun-2018 20:30:00,29.544658,26.736163,31.961835
06-Jun-2018 20:45:00,29.788547,26.910110,32.302482
06-Jun-2018 21:00:00,29.654349,27.018827,33.041759
06-Jun-2018 21:15:00,29.557510,27.229014,31.874861
06-Jun-2018 21:30:00,29.754901,27.286996,31.983579
06-Jun-2018 21:45:00,29.909134,26.641941,32.541660
06-Jun-2018 22:00:00,31.715426,29.280145,34.157922
06-Jun-2018 22:15:00,31.710030,29.548314,34.897199
06-Jun-2018 22:30:00,31.946566,29.671527,34.085444
06-Jun-2018 22:45:00,32.196568,29.772996,33.962231
06-Jun-2018 23:00:00,31.708033,29.678774,34.513065
06-Jun-2018 23:15:00,32.010854,30.222360,33.476628
06-Jun-2018 23:30:00,31.639517,30.294838,33.012768
06-Jun-2018 23:45:00,31.712382,30.128139,33.056255
07-Jun-2018 00:00:00,32.126309,30.505025,33.643327
