timestamp,p_mean,p_min,p_max
06-Jun-2018 00:00:00,47.260809,46.197111,48.028259
06-Jun-2018 00:15:00,47.324199,46.197111,48.189831
06-Jun-2018 00:30:00,47.439265,46.058621,48.674546
06-Jun-2018 00:45:00,47.479940,46.474091,48.405260
06-Jun-2018 01:00:00,47.583304,45.812416,49.074629
06-Jun-2018 01:15:00,47.636426,46.481785,48.589913
06-Jun-2018 01:30:00,47.575695,46.658745,48.274464
06-Jun-2018 01:45:00,47.595366,46.743378,48.374484
06-Jun-2018 02:00:00,47.630630,46.520255,48.412954
06-Jun-2018 02:15:00,47.678152,46.820317,48.405260
06-Jun-2018 02:30:00,47.411242,46.120172,48.474505
06-Jun-2018 02:45:00,47.456012,46.627969,48.412954
06-Jun-2018 03:00:00,47.509040,46.720296,48.366790
06-Jun-2018 03:15:00,47.529395,46.389458,48.397566
06-Jun-2018 03:30:00,47.591160,46.689521,48.235994
06-Jun-2018 03:45:00,47.429160,46.312520,48.322169
06-Jun-2018 04:00:00,47.316542,46.121714,48.706864
06-Jun-2018 04:15:00,47.121613,45.544672,48.622231
06-Jun-2018 04:30:00,47.003016,45.306161,48.214455
06-Jun-2018 04:45:00,46.493355,44.898384,48.399108
06-Jun-2018 05:00:00,46.275832,44.629098,47.514310
06-Jun-2018 05:15:00,46.862141,44.813751,49.814785
06-Jun-2018 05:30:00,46.582981,43.998198,48.568374
06-Jun-2018 05:45:00,46.812695,44.752200,48.714558
06-Jun-2018 06:00:00,46.673820,43.659667,49.099253
06-Jun-2018 06:15:00,46.723086,44.459832,49.076171
06-Jun-2018 06:30:00,48.394971,45.952448,50.514930
06-Jun-2018 06:45:00,48.188150,44.752200,50.576481
06-Jun-2018 07:00:00,48.775100,45.821652,51.399729
06-Jun-2018 07:15:00,48.219746,44.367505,50.630339
06-Jun-2018 07:30:00,49.149203,47.129615,50.707278
06-Jun-2018 07:45:00,49.100390,46.829553,50.861156
06-Jun-2018 08:00:00,48.554414,45.867816,50.768829
06-Jun-2018 08:15:00,48.499761,45.390794,51.299708
06-Jun-2018 08:30:00,48.170403,45.290773,51.215075
06-Jun-2018 08:45:00,48.389439,45.690856,49.953276
06-Jun-2018 09:00:00,47.597677,45.298467,49.091559
06-Jun-2018 09:15:00,47.572732,45.929367,49.853255
06-Jun-2018 09:30:00,47.943877,45.775489,49.976357
06-Jun-2018 09:45:00,48.244427,46.237123,50.384134
