timestamp,p_mean,p_min,p_max
06-Jun-2018 00:00:00,46.503441,45.556843,47.263245
06-Jun-2018 00:15:00,46.545924,45.526906,47.442866
06-Jun-2018 00:30:00,46.674137,45.818791,47.472803
06-Jun-2018 00:45:00,46.525576,45.482001,47.382993
06-Jun-2018 01:00:00,46.495664,45.646654,47.487772
06-Jun-2018 01:15:00,46.537118,45.601748,47.382993
06-Jun-2018 01:30:00,46.530806,45.309864,47.308151
06-Jun-2018 01:45:00,46.553550,45.594264,47.233308
06-Jun-2018 02:00:00,46.614837,45.534390,47.345572
06-Jun-2018 02:15:00,46.656358,45.886149,47.465319
06-Jun-2018 02:30:00,46.761428,45.556843,47.547646
06-Jun-2018 02:45:00,46.571762,45.818791,47.368024
06-Jun-2018 03:00:00,46.766251,45.728980,47.615004
06-Jun-2018 03:15:00,46.736340,45.841243,47.457835
06-Jun-2018 03:30:00,46.692091,45.489485,47.510224
06-Jun-2018 03:45:00,46.437561,45.474517,47.270729
06-Jun-2018 04:00:00,46.473386,45.654138,47.225824
06-Jun-2018 04:15:00,46.394036,45.205085,47.158466
06-Jun-2018 04:30:00,46.276376,45.249990,47.158466
06-Jun-2018 04:45:00,46.329231,45.010495,47.442866
06-Jun-2018 05:00:00,45.960376,44.344400,46.911487
06-Jun-2018 05:15:00,44.870731,43.221767,46.245391
06-Jun-2018 05:30:00,44.182915,42.765229,45.609233
06-Jun-2018 05:45:00,43.438734,41.545301,45.556843
06-Jun-2018 06:00:00,42.719076,41.313291,44.292010
06-Jun-2018 06:15:00,43.435167,41.657565,44.628800
06-Jun-2018 06:30:00,44.100738,42.361081,46.073254
06-Jun-2018 06:45:00,42.937067,41.560270,44.389305
06-Jun-2018 07:00:00,44.085246,42.331144,45.788854
06-Jun-2018 07:15:00,44.028308,42.099134,45.482001
06-Jun-2018 07:30:00,44.135357,42.735292,45.893633
06-Jun-2018 07:45:00,44.332483,42.226365,46.477402
06-Jun-2018 08:00:00,44.022686,42.196428,46.133128
06-Jun-2018 08:15:00,44.059733,42.720324,45.354769
06-Jun-2018 08:30:00,43.953607,42.076681,45.437096
06-Jun-2018 08:45:00,44.300126,42.870008,46.005896
06-Jun-2018 09:00:00,44.143099,42.780198,45.324832
06-Jun-2018 09:15:00,44.144471,42.735292,45.609233
06-Jun-2018 09:30:00,44.418418,43.072082,45.781370
06-Jun-2018 09:45:00,44.033954,42.024291,45.781370
06-Jun-2018 10:00:00,44.474026,42.840071,46.260360
06-Jun-2018 10:15:00,45.192536,43.079566,47.330603
06-Jun-2018 10:30:00,44.543771,42.548187,46.432497
06-Jun-2018 10:45:00,44.584976,42.675419,46.417528
06-Jun-2018 11:00:00,44.448854,41.919512,46.088223
06-Jun-2018 11:15:00,44.551247,43.146924,45.886149
06-Jun-2018 11:30:00,44.504179,42.750261,46.380107
06-Jun-2018 11:45:00,44.164296,42.697871,45.863696
06-Jun-2018 12:00:00,44.456696,42.825103,46.432497
06-Jun-2018 12:15:00,44.612260,43.281640,46.140612
06-Jun-2018 12:30:00,44.814616,43.109503,46.260360
06-Jun-2018 12:45:00,45.704981,44.082452,47.457835
06-Jun-2018 13:00:00,45.218066,43.566041,46.746834
06-Jun-2018 13:15:00,44.719600,43.498683,45.946023
06-Jun-2018 13:30:00,45.097387,43.685788,46.372623
06-Jun-2018 13:45:00,45.168961,43.506167,46.514823
06-Jun-2018 14:00:00,45.284143,43.543588,46.829160
06-Jun-2018 14:15:00,45.391309,43.416356,46.874066
06-Jun-2018 14:30:00,45.347867,43.708241,46.671992
06-Jun-2018 14:45:00,45.224793,43.551072,46.395076
06-Jun-2018 15:00:00,44.709787,42.870008,46.694445
06-Jun-2018 15:15:00,44.281649,42.757745,45.721496
06-Jun-2018 15:30:00,44.263129,42.667934,45.654138
06-Jun-2018 15:45:00,43.534948,42.099134,44.943137
06-Jun-2018 16:00:00,43.551920,42.009323,44.920684
06-Jun-2018 16:15:00,43.360923,41.657565,44.943137
06-Jun-2018 16:30:00,43.491506,41.739891,45.227537
06-Jun-2018 16:45:00,43.361780,41.919512,44.703642
06-Jun-2018 17:00:00,43.223322,41.590207,44.860811
06-Jun-2018 17:15:00,43.709189,41.941965,45.182632
06-Jun-2018 17:30:00,43.622106,41.882091,45.152695
06-Jun-2018 17:45:00,43.204852,41.230964,44.838358
06-Jun-2018 18:00:00,44.293598,41.650080,46.297781
06-Jun-2018 18:15:00,44.725854,42.548187,46.484886
06-Jun-2018 18:30:00,44.141968,42.331144,45.833759
06-Jun-2018 18:45:00,43.867788,41.889575,46.207970
06-Jun-2018 19:00:00,43.904519,42.144039,45.998412
06-Jun-2018 19:15:00,44.076706,42.488313,45.878665
06-Jun-2018 19:30:00,44.242456,42.585608,46.904003
06-Jun-2018 19:45:00,44.878091,42.645482,47.031234
06-Jun-2018 20:00:00,43.740739,42.054228,45.511938
06-Jun-2018 20:15:00,43.921857,42.293723,46.222939
06-Jun-2018 20:30:00,44.585275,42.637997,46.320234
06-Jun-2018 20:45:00,44.730901,43.251703,46.155581
06-Jun-2018 21:00:00,44.573674,42.720324,47.061171
06-Jun-2018 21:15:00,44.400265,42.555671,46.342686
06-Jun-2018 21:30:00,44.676059,42.959819,46.507339
06-Jun-2018 21:45:00,44.851688,43.236735,46.365139
06-Jun-2018 22:00:00,46.066518,44.456663,47.734751
06-Jun-2018 22:15:00,45.953083,44.516537,47.712298
06-Jun-2018 22:30:00,46.097902,44.479115,47.734751
06-Jun-2018 22:45:00,46.297756,44.576410,47.570098
06-Jun-2018 23:00:00,46.113503,44.988042,47.487772
06-Jun-2018 23:15:00,46.317448,45.092822,47.390477
06-Jun-2018 23:30:00,46.147373,45.032948,47.143498
06-Jun-2018 23:45:00,46.187854,44.905716,46.971361
07-Jun-2018 00:00:00,46.405803,45.422127,47.435382
