timestamp,q_mean,q_min,q_max
06-Jun-2018 00:00:00,-0.004140,-0.637732,0.624298
06-Jun-2018 00:15:00,-0.004494,-0.639352,0.630779
06-Jun-2018 00:30:00,-0.004385,-0.644213,0.632399
06-Jun-2018 00:45:00,-0.004232,-0.644213,0.634019
06-Jun-2018 01:00:00,-0.004179,-0.642592,0.635639
06-Jun-2018 01:15:00,-0.004204,-0.647453,0.637259
06-Jun-2018 01:30:00,-0.004105,-0.647453,0.637259
06-Jun-2018 01:45:00,-0.004193,-0.652313,0.642119
06-Jun-2018 02:00:00,-0.004258,-0.653933,0.640499
06-Jun-2018 02:15:00,-0.003959,-0.650693,0.640499
06-Jun-2018 02:30:00,-0.003898,-0.650693,0.640499
06-Jun-2018 02:45:00,-0.003962,-0.649073,0.638879
06-Jun-2018 03:00:00,-0.004047,-0.649073,0.637259
06-Jun-2018 03:15:00,-0.003842,-0.647453,0.637259
06-Jun-2018 03:30:00,-0.003894,-0.653933,0.643739
06-Jun-2018 03:45:00,-0.003799,-0.657173,0.646979
06-Jun-2018 04:00:00,-0.003645,-0.650693,0.643739
06-Jun-2018 04:15:00,-0.003419,-0.650693,0.643739
06-Jun-2018 04:30:00,0.268615,-0.650693,1.359808
06-Jun-2018 04:45:00,0.815220,0.039455,1.779405
06-Jun-2018 05:00:00,1.270182,0.460672,2.354528
06-Jun-2018 05:15:00,1.929477,0.961272,3.115958
06-Jun-2018 05:30:00,2.587657,1.716222,3.718623
06-Jun-2018 05:45:00,3.405016,2.351288,4.588598
06-Jun-2018 06:00:00,3.906702,3.085177,4.689042
06-Jun-2018 06:15:00,3.855058,3.070597,4.708482
06-Jun-2018 06:30:00,3.861119,2.937751,4.697142
06-Jun-2018 06:45:00,3.971262,3.054396,4.786245
06-Jun-2018 07:00:00,3.988322,3.049536,4.826747
06-Jun-2018 07:15:00,3.825009,2.944232,4.700382
06-Jun-2018 07:30:00,3.970643,3.205062,4.716583
06-Jun-2018 07:45:00,3.948925,3.138639,4.727923
06-Jun-2018 08:00:00,3.892726,3.128919,4.669601
06-Jun-2018 08:15:00,3.880993,3.138639,4.627479
06-Jun-2018 08:30:00,3.786309,2.955572,4.557817
06-Jun-2018 08:45:00,3.789442,2.983113,4.549716
06-Jun-2018 09:00:00,3.720111,2.910210,4.478433
06-Jun-2018 09:15:00,3.749569,3.036575,4.488153
06-Jun-2018 09:30:00,3.790048,3.034955,4.497874
06-Jun-2018 09:45:00,3.856284,3.114338,4.593458
06-Jun-2018 10:00:00,3.839728,3.064116,4.595078
06-Jun-2018 10:15:00,3.818044,3.033335,4.614519
06-Jun-2018 10:30:00,3.857981,3.130539,4.580497
06-Jun-2018 10:45:00,3.823963,3.120819,4.557817
06-Jun-2018 11:00:00,3.802885,2.978253,4.522175
06-Jun-2018 11:15:00,3.744258,2.953952,4.509214
06-Jun-2018 11:30:00,3.758307,2.979873,4.538375
06-Jun-2018 11:45:00,3.866904,3.107858,4.569157
06-Jun-2018 12:00:00,3.769193,3.009034,4.465473
06-Jun-2018 12:15:00,3.830587,3.141880,4.520555
06-Jun-2018 12:30:00,3.744954,2.944232,4.471953
06-Jun-2018 12:45:00,3.727329,3.020375,4.424971
06-Jun-2018 13:00:00,3.669870,2.885909,4.424971
06-Jun-2018 13:15:00,3.710880,2.984733,4.439551
06-Jun-2018 13:30:00,3.690865,2.989593,4.363409
06-Jun-2018 13:45:00,3.636483,2.910210,4.355308
06-Jun-2018 14:00:00,3.663608,3.021995,4.316427
06-Jun-2018 14:15:00,3.648163,2.911830,4.371509
06-Jun-2018 14:30:00,3.626689,2.788705,4.379609
06-Jun-2018 14:45:00,3.505480,2.798426,4.212742
06-Jun-2018 15:00:00,3.635867,2.872949,4.332627
06-Jun-2018 15:15:00,3.726575,3.039815,4.373129
06-Jun-2018 15:30:00,3.678050,3.054396,4.319667
06-Jun-2018 15:45:00,3.757673,2.973393,4.420111
06-Jun-2018 16:00:00,3.794246,3.140260,4.400670
06-Jun-2018 16:15:00,3.736944,3.025235,4.402290
06-Jun-2018 16:30:00,3.776034,3.068977,4.480053
06-Jun-2018 16:45:00,3.820773,3.145120,4.468713
06-Jun-2018 17:00:00,3.810512,3.075457,4.437932
06-Jun-2018 17:15:00,3.784784,3.164560,4.455752
06-Jun-2018 17:30:00,3.812251,3.193722,4.483294
06-Jun-2018 17:45:00,3.861533,3.232603,4.486534
06-Jun-2018 18:00:00,3.859643,3.193722,4.554576
06-Jun-2018 18:15:00,3.815164,3.041435,4.536756
06-Jun-2018 18:30:00,3.874995,3.114338,4.612898
06-Jun-2018 18:45:00,3.903298,3.211542,4.564297
06-Jun-2018 19:00:00,3.956681,3.248804,4.625859
06-Jun-2018 19:15:00,4.026589,3.303886,4.744124
06-Jun-2018 19:30:00,3.952111,3.224503,4.622619
06-Jun-2018 19:45:00,3.842738,3.133779,4.575637
06-Jun-2018 20:00:00,3.901773,3.240703,4.583737
06-Jun-2018 20:15:00,3.899732,3.122439,4.629099
06-Jun-2018 20:30:00,3.869194,3.135399,4.596698
06-Jun-2018 20:45:00,3.854185,2.950712,4.596698
06-Jun-2018 21:00:00,3.742975,2.978253,4.557817
06-Jun-2018 21:15:00,3.846047,3.098138,4.564297
06-Jun-2018 21:30:00,3.855280,3.083557,4.638820
06-Jun-2018 21:45:00,3.911226,3.148360,4.671221
06-Jun-2018 22:00:00,3.608206,2.563516,4.441172
06-Jun-2018 22:15:00,2.940378,1.781025,3.901690
06-Jun-2018 22:30:00,2.248078,1.184841,3.114338
06-Jun-2018 22:45:00,1.704682,0.672900,2.508434
06-Jun-2018 23:00:00,1.085212,0.214422,1.905770
06-Jun-2018 23:15:00,0.488953,-0.517847,1.444051
