timestamp,q_mean,q_min,q_max
06-Jun-2018 00:00:00,6.124668,4.172388,8.225296
06-Jun-2018 00:15:00,5.608103,3.050044,8.270643
06-Jun-2018 00:30:00,4.986992,2.902666,7.168139
06-Jun-2018 00:45:00,5.445635,3.061381,8.083587
06-Jun-2018 01:00:00,5.913686,3.973994,8.256473
06-Jun-2018 01:15:00,5.445407,3.370309,7.678296
06-Jun-2018 01:30:00,5.636223,3.509185,7.686798
06-Jun-2018 01:45:00,5.462869,3.316459,7.854016
06-Jun-2018 02:00:00,4.971713,3.098226,7.562093
06-Jun-2018 02:15:00,4.774369,2.882826,6.904558
06-Jun-2018 02:30:00,4.305713,2.174276,6.686325
06-Jun-2018 02:45:00,4.919361,2.213955,7.068942
06-Jun-2018 03:00:00,4.242029,1.992887,5.994780
06-Jun-2018 03:15:00,4.211281,2.338660,6.527610
06-Jun-2018 03:30:00,4.435777,2.367002,7.270170
06-Jun-2018 03:45:00,5.196378,2.681598,7.213486
06-Jun-2018 04:00:00,5.203384,3.509185,7.811503
06-Jun-2018 04:15:00,5.622212,3.455335,7.797332
06-Jun-2018 04:30:00,6.135481,3.761429,8.332996
06-Jun-2018 04:45:00,5.942743,3.560200,8.364172
06-Jun-2018 05:00:00,7.617984,5.300400,10.175227
06-Jun-2018 05:15:00,10.279253,7.074611,13.788834
06-Jun-2018 05:30:00,11.430527,8.967857,14.500218
06-Jun-2018 05:45:00,13.173288,9.710418,16.458652
06-Jun-2018 06:00:00,15.910977,13.114294,18.782698
06-Jun-2018 06:15:00,16.311108,13.941881,18.643822
06-Jun-2018 06:30:00,15.258042,11.847406,17.722706
06-Jun-2018 06:45:00,17.096020,14.024073,19.380714
06-Jun-2018 07:00:00,17.246157,15.330640,19.326864
06-Jun-2018 07:15:00,16.622093,13.550761,19.241838
06-Jun-2018 07:30:00,15.407868,12.751516,17.702866
06-Jun-2018 07:45:00,14.891065,12.167671,17.770887
06-Jun-2018 08:00:00,14.764813,12.074142,17.178539
06-Jun-2018 08:15:00,14.753740,12.482267,16.761911
06-Jun-2018 08:30:00,14.914968,12.485102,17.277737
06-Jun-2018 08:45:00,13.879465,11.161530,16.039190
06-Jun-2018 09:00:00,14.490761,12.391573,16.790253
06-Jun-2018 09:15:00,14.484830,12.306546,17.240892
06-Jun-2018 09:30:00,14.055882,11.946603,16.416140
06-Jun-2018 09:45:00,14.760299,12.085479,18.045805
06-Jun-2018 10:00:00,14.322670,11.949437,16.971642
06-Jun-2018 10:15:00,13.011564,9.761434,16.226248
06-Jun-2018 10:30:00,13.817930,11.320245,16.863943
06-Jun-2018 10:45:00,13.883094,10.849767,16.572020
06-Jun-2018 11:00:00,13.577254,10.824259,17.255062
06-Jun-2018 11:15:00,13.423508,11.320245,15.716091
06-Jun-2018 11:30:00,13.481099,10.393460,16.025019
06-Jun-2018 11:45:00,13.882117,11.223882,16.061863
06-Jun-2018 12:00:00,13.415361,10.974472,16.087372
06-Jun-2018 12:15:00,13.135502,10.382124,15.299463
06-Jun-2018 12:30:00,12.711374,10.469984,15.517697
06-Jun-2018 12:45:00,11.053865,7.888026,13.868192
06-Jun-2018 13:00:00,11.399111,8.599411,14.426529
06-Jun-2018 13:15:00,12.187142,10.348113,14.055249
06-Jun-2018 13:30:00,11.546192,8.970692,14.486048
06-Jun-2018 13:45:00,11.082295,8.769463,13.757658
06-Jun-2018 14:00:00,10.841186,8.386846,13.737819
06-Jun-2018 14:15:00,10.806400,8.205457,13.825679
06-Jun-2018 14:30:00,11.005584,8.817644,13.967389
06-Jun-2018 14:45:00,11.126937,8.386846,13.845518
06-Jun-2018 15:00:00,12.327201,8.888499,15.588552
06-Jun-2018 15:15:00,13.001937,10.195066,16.059029
06-Jun-2018 15:30:00,12.962389,10.668378,15.738765
06-Jun-2018 15:45:00,14.019611,11.929598,17.255062
06-Jun-2018 16:00:00,14.313481,11.980614,17.045332
06-Jun-2018 16:15:00,14.611434,11.705696,17.371265
06-Jun-2018 16:30:00,14.961447,12.213018,17.354259
06-Jun-2018 16:45:00,15.877367,13.740653,18.176178
06-Jun-2018 17:00:00,16.336633,13.258839,19.666967
06-Jun-2018 17:15:00,16.839344,14.610752,19.675470
06-Jun-2018 17:30:00,17.050485,15.041552,19.057615
06-Jun-2018 17:45:00,17.898443,14.780805,20.386856
06-Jun-2018 18:00:00,19.040442,16.838434,21.262623
06-Jun-2018 18:15:00,17.969460,15.478018,20.225306
06-Jun-2018 18:30:00,18.100371,15.466681,20.333006
06-Jun-2018 18:45:00,17.694418,15.495024,20.364182
06-Jun-2018 19:00:00,17.627647,14.803478,20.500223
06-Jun-2018 19:15:00,18.008696,15.520532,20.999043
06-Jun-2018 19:30:00,16.573752,13.879528,19.159645
06-Jun-2018 19:45:00,14.313743,11.691525,17.065170
06-Jun-2018 20:00:00,14.952992,12.227189,17.113352
06-Jun-2018 20:15:00,14.752767,11.410939,17.422281
