timestamp,q_mean,q_min,q_max
06-Jun-2018 00:00:00,-0.001334,-0.617295,0.612648
06-Jun-2018 00:15:00,-0.001058,-0.623769,0.620740
06-Jun-2018 00:30:00,-0.001356,-0.627005,0.620740
06-Jun-2018 00:45:00,-0.001231,-0.627005,0.622358
06-Jun-2018 01:00:00,-0.001746,-0.627005,0.627213
06-Jun-2018 01:15:00,-0.001619,-0.631860,0.627213
06-Jun-2018 01:30:00,-0.001518,-0.630242,0.623976
06-Jun-2018 01:45:00,-0.001586,-0.633479,0.628831
06-Jun-2018 02:00:00,-0.001636,-0.633479,0.632068
06-Jun-2018 02:15:00,-0.001606,-0.631860,0.628831
06-Jun-2018 02:30:00,-0.001436,-0.633479,0.632068
06-Jun-2018 02:45:00,-0.001313,-0.631860,0.628831
06-Jun-2018 03:00:00,-0.001235,-0.635097,0.630450
06-Jun-2018 03:15:00,-0.001469,-0.635097,0.632068
06-Jun-2018 03:30:00,-0.001149,-0.638334,0.635305
06-Jun-2018 03:45:00,-0.001078,-0.644807,0.643397
06-Jun-2018 04:00:00,-0.001142,-0.644807,0.640160
06-Jun-2018 04:15:00,-0.000936,-0.636715,0.632068
06-Jun-2018 04:30:00,-0.008031,-0.690121,0.800376
06-Jun-2018 04:45:00,-0.048358,-0.746763,0.627213
06-Jun-2018 05:00:00,-0.130001,-1.241977,0.625595
06-Jun-2018 05:15:00,-0.000438,-0.897269,0.780956
06-Jun-2018 05:30:00,0.027723,-0.712778,0.805231
06-Jun-2018 05:45:00,0.118865,-0.652899,1.306919
06-Jun-2018 06:00:00,0.409551,-0.614059,1.955876
06-Jun-2018 06:15:00,0.152738,-0.623769,1.386218
06-Jun-2018 06:30:00,0.090193,-0.754855,1.303682
06-Jun-2018 06:45:00,0.590331,-0.612440,2.179207
06-Jun-2018 07:00:00,0.904439,-0.609204,2.413867
06-Jun-2018 07:15:00,0.462669,-0.583310,1.997952
06-Jun-2018 07:30:00,1.155468,-0.515339,2.836256
06-Jun-2018 07:45:00,0.969626,-0.610822,3.166399
06-Jun-2018 08:00:00,1.034170,-0.610822,2.719735
06-Jun-2018 08:15:00,1.012018,-0.301718,2.436524
06-Jun-2018 08:30:00,1.083342,-0.306573,2.574084
06-Jun-2018 08:45:00,0.643113,-0.536378,1.973677
06-Jun-2018 09:00:00,0.603320,-0.525050,1.941310
06-Jun-2018 09:15:00,0.623098,-0.597875,2.237468
06-Jun-2018 09:30:00,0.288109,-0.575218,1.583656
