timestamp,p_mean
06-Jun-2018 00:00:00,29.160375
06-Jun-2018 00:15:00,29.052533
06-Jun-2018 00:30:00,29.124333
06-Jun-2018 00:45:00,29.070867
06-Jun-2018 01:00:00,29.191400
06-Jun-2018 01:15:00,29.215033
06-Jun-2018 01:30:00,29.171000
06-Jun-2018 01:45:00,29.147667
06-Jun-2018 02:00:00,29.243800
06-Jun-2018 02:15:00,29.231733
06-Jun-2018 02:30:00,29.164467
06-Jun-2018 02:45:00,29.202033
06-Jun-2018 03:00:00,29.152467
06-Jun-2018 03:15:00,29.220467
06-Jun-2018 03:30:00,29.194133
06-Jun-2018 03:45:00,29.078733
06-Jun-2018 04:00:00,29.049867
06-Jun-2018 04:15:00,28.917000
06-Jun-2018 04:30:00,28.897733
06-Jun-2018 04:45:00,28.633400
06-Jun-2018 05:00:00,28.492333
06-Jun-2018 05:15:00,28.285133
06-Jun-2018 05:30:00,28.016600
06-Jun-2018 05:45:00,27.851933
06-Jun-2018 06:00:00,27.690700
06-Jun-2018 06:15:00,27.962667
06-Jun-2018 06:30:00,28.272800
06-Jun-2018 06:45:00,28.315600
06-Jun-2018 07:00:00,29.217067
06-Jun-2018 07:15:00,28.894733
06-Jun-2018 07:30:00,29.402733
06-Jun-2018 07:45:00,29.354067
06-Jun-2018 08:00:00,29.051533
06-Jun-2018 08:15:00,29.129067
06-Jun-2018 08:30:00,29.130267
06-Jun-2018 08:45:00,29.184200
06-Jun-2018 09:00:00,29.119867
06-Jun-2018 09:15:00,29.037667
06-Jun-2018 09:30:00,29.189200
06-Jun-2018 09:45:00,28.818933
06-Jun-2018 10:00:00,28.801267
06-Jun-2018 10:15:00,29.516333
06-Jun-2018 10:30:00,29.248067
06-Jun-2018 10:45:00,29.244467
06-Jun-2018 11:00:00,28.710100
06-Jun-2018 11:15:00,29.094533
06-Jun-2018 11:30:00,28.951133
06-Jun-2018 11:45:00,28.826467
06-Jun-2018 12:00:00,28.955867
06-Jun-2018 12:15:00,29.086667
06-Jun-2018 12:30:00,29.219467
06-Jun-2018 12:45:00,29.260000
06-Jun-2018 13:00:00,29.304867
06-Jun-2018 13:15:00,29.139333
06-Jun-2018 13:30:00,29.080200
06-Jun-2018 13:45:00,29.017667
06-Jun-2018 14:00:00,28.938700
06-Jun-2018 14:15:00,29.141667
06-Jun-2018 14:30:00,29.220133
06-Jun-2018 14:45:00,28.819800
06-Jun-2018 15:00:00,28.739400
06-Jun-2018 15:15:00,28.837533
06-Jun-2018 15:30:00,28.680067
06-Jun-2018 15:45:00,28.476333
06-Jun-2018 16:00:00,28.645667
06-Jun-2018 16:15:00,28.330733
06-Jun-2018 16:30:00,28.281733
06-Jun-2018 16:45:00,28.319800
06-Jun-2018 17:00:00,28.265167
06-Jun-2018 17:15:00,28.260267
06-Jun-2018 17:30:00,28.095533
06-Jun-2018 17:45:00,28.119933
06-Jun-2018 18:00:00,28.561667
06-Jun-2018 18:15:00,28.605933
06-Jun-2018 18:30:00,28.730333
06-Jun-2018 18:45:00,28.346800
06-Jun-2018 19:00:00,28.752667
06-Jun-2018 19:15:00,28.778867
06-Jun-2018 19:30:00,28.861200
06-Jun-2018 19:45:00,29.052267
06-Jun-2018 20:00:00,28.716400
06-Jun-2018 20:15:00,28.604100
06-Jun-2018 20:30:00,28.953333
06-Jun-2018 20:45:00,29.043800
06-Jun-2018 21:00:00,28.862400
06-Jun-2018 21:15:00,28.708967
06-Jun-2018 21:30:00,28.771933
06-Jun-2018 21:45:00,29.009600
06-Jun-2018 22:00:00,29.058800
06-Jun-2018 22:15:00,29.188724
06-Jun-2018 22:30:00,29.359587
06-Jun-2018 22:45:00,29.403564
06-Jun-2018 23:00:00,29.179533
06-Jun-2018 23:15:00,29.117867
06-Jun-2018 23:30:00,29.267200
06-Jun-2018 23:45:00,29.206733
07-Jun-2018 00:00:00,29.060125
