timestamp,q_mean
06-Jun-2018 00:00:00,2.687625
06-Jun-2018 00:15:00,2.522333
06-Jun-2018 00:30:00,2.206733
06-Jun-2018 00:45:00,2.247333
06-Jun-2018 01:00:00,2.288000
06-Jun-2018 01:15:00,2.381900
06-Jun-2018 01:30:00,2.410467
06-Jun-2018 01:45:00,2.345333
06-Jun-2018 02:00:00,2.099533
06-Jun-2018 02:15:00,1.948333
06-Jun-2018 02:30:00,2.183733
06-Jun-2018 02:45:00,2.093600
06-Jun-2018 03:00:00,1.995267
06-Jun-2018 03:15:00,2.043933
06-Jun-2018 03:30:00,2.055667
06-Jun-2018 03:45:00,2.135833
06-Jun-2018 04:00:00,2.325267
06-Jun-2018 04:15:00,2.611333
06-Jun-2018 04:30:00,3.047133
06-Jun-2018 04:45:00,3.099400
06-Jun-2018 05:00:00,4.158600
06-Jun-2018 05:15:00,5.726600
06-Jun-2018 05:30:00,6.621267
06-Jun-2018 05:45:00,8.667467
06-Jun-2018 06:00:00,10.421633
06-Jun-2018 06:15:00,11.004600
06-Jun-2018 06:30:00,11.913400
06-Jun-2018 06:45:00,13.340467
06-Jun-2018 07:00:00,11.166733
06-Jun-2018 07:15:00,11.052067
06-Jun-2018 07:30:00,9.828267
06-Jun-2018 07:45:00,9.823133
06-Jun-2018 08:00:00,10.021800
06-Jun-2018 08:15:00,9.510933
06-Jun-2018 08:30:00,9.814533
06-Jun-2018 08:45:00,9.274000
06-Jun-2018 09:00:00,8.933667
06-Jun-2018 09:15:00,8.819533
06-Jun-2018 09:30:00,8.334333
06-Jun-2018 09:45:00,8.973333
06-Jun-2018 10:00:00,9.283400
06-Jun-2018 10:15:00,8.034000
06-Jun-2018 10:30:00,8.480200
06-Jun-2018 10:45:00,7.824333
06-Jun-2018 11:00:00,8.778600
06-Jun-2018 11:15:00,8.228067
06-Jun-2018 11:30:00,8.052933
06-Jun-2018 11:45:00,8.763000
06-Jun-2018 12:00:00,8.466600
06-Jun-2018 12:15:00,8.521200
06-Jun-2018 12:30:00,7.573000
06-Jun-2018 12:45:00,7.842067
06-Jun-2018 13:00:00,7.378933
06-Jun-2018 13:15:00,7.815400
06-Jun-2018 13:30:00,8.052467
06-Jun-2018 13:45:00,7.785467
06-Jun-2018 14:00:00,8.064433
06-Jun-2018 14:15:00,7.191200
06-Jun-2018 14:30:00,6.827333
06-Jun-2018 14:45:00,7.510600
06-Jun-2018 15:00:00,7.691467
06-Jun-2018 15:15:00,7.342333
06-Jun-2018 15:30:00,7.439267
06-Jun-2018 15:45:00,8.177800
06-Jun-2018 16:00:00,8.119800
06-Jun-2018 16:15:00,8.837267
06-Jun-2018 16:30:00,9.858733
06-Jun-2018 16:45:00,10.038533
06-Jun-2018 17:00:00,10.012233
06-Jun-2018 17:15:00,10.544533
06-Jun-2018 17:30:00,10.843667
06-Jun-2018 17:45:00,11.483533
06-Jun-2018 18:00:00,10.216000
06-Jun-2018 18:15:00,9.922733
06-Jun-2018 18:30:00,10.288000
06-Jun-2018 18:45:00,10.514533
06-Jun-2018 19:00:00,9.653333
06-Jun-2018 19:15:00,9.373400
06-Jun-2018 19:30:00,9.154467
06-Jun-2018 19:45:00,8.385067
06-Jun-2018 20:00:00,9.077400
06-Jun-2018 20:15:00,9.412133
06-Jun-2018 20:30:00,7.996667
06-Jun-2018 20:45:00,7.356067
06-Jun-2018 21:00:00,7.411533
06-Jun-2018 21:15:00,7.922900
06-Jun-2018 21:30:00,7.784000
06-Jun-2018 21:45:00,6.734200
06-Jun-2018 22:00:00,6.481533
06-Jun-2018 22:15:00,5.244191
06-Jun-2018 22:30:00,4.519933
06-Jun-2018 22:45:00,4.166283
06-Jun-2018 23:00:00,3.952133
06-Jun-2018 23:15:00,4.047800
06-Jun-2018 23:30:00,3.240200
06-Jun-2018 23:45:00,2.924400
07-Jun-2018 00:00:00,3.386750
